date,seconds,weather,simulation
17.05.2016 02:03,1581281,30.83,32.649068
17.05.2016 03:14,1585570,30.86,33.305254
17.05.2016 04:26,1589859,31.01,33.782833
17.05.2016 05:37,1594148,31.03,34.13962
17.05.2016 06:49,1598437,31.1,34.195483
17.05.2016 07:49,1602041,31.14,34.092662
17.05.2016 08:49,1605646,31.02,33.835123
17.05.2016 09:49,1609251,30.98,33.332762
17.05.2016 10:49,1612856,31.01,32.728433
17.05.2016 11:49,1616461,31.2,31.780069
17.05.2016 12:49,1620066,31.22,31.169204
17.05.2016 14:01,1624373,31.43,31.16046
17.05.2016 15:13,1628681,31.5,31.292469
17.05.2016 16:25,1632988,31.58,31.331518
17.05.2016 17:37,1637296,31.76,31.378731
17.05.2016 18:48,1641604,31.6,31.497113
17.05.2016 19:49,1645214,31.58,31.384706
17.05.2016 20:49,1648824,31.64,31.365894
17.05.2016 21:49,1652434,32.03,31.404041
17.05.2016 22:49,1656045,31.71,31.66586
17.05.2016 23:49,1659655,31.16,31.450711
18.05.2016 00:49,1663266,29.91,31.281657
18.05.2016 01:50,1666872,29.11,31.770308
18.05.2016 02:50,1670478,29.2,31.993747
18.05.2016 03:50,1674084,28.4,32.492937
18.05.2016 04:50,1677691,28.32,32.36241
18.05.2016 05:50,1681297,31.1,32.470696
18.05.2016 06:50,1684904,28.72,34.262612
18.05.2016 08:02,1689212,29.24,32.70701
18.05.2016 09:14,1693521,30.1,32.734662
18.05.2016 10:25,1697830,30.6,32.742412
18.05.2016 11:37,1702139,29.5,32.253324
18.05.2016 12:49,1706448,30.62,30.331572
18.05.2016 14:01,1710765,30.78,30.818755
18.05.2016 15:13,1715083,28.9,30.885163
18.05.2016 16:25,1719400,28,29.948542
18.05.2016 17:37,1723718,28.3,29.481756
18.05.2016 18:49,1728036,25,29.583868
18.05.2016 20:01,1732349,31.29,27.978202
18.05.2016 21:13,1736663,25,31.095271
18.05.2016 22:25,1740976,25,27.921942
18.05.2016 23:36,1745290,31.17,27.857872
19.05.2016 00:48,1749604,30.99,30.946237
19.05.2016 01:49,1753211,26,31.768326
19.05.2016 02:49,1756818,26.6,29.972996
19.05.2016 03:49,1760425,28,30.742591
19.05.2016 04:49,1764032,29,31.81036
19.05.2016 05:49,1767639,30,32.575608
19.05.2016 06:49,1771246,31,33.315617
19.05.2016 07:49,1774851,31,34.012413
19.05.2016 08:49,1778456,30.55,33.876826
19.05.2016 09:49,1782061,30.62,33.317128
19.05.2016 10:49,1785666,30.58,32.96404
19.05.2016 11:50,1789271,30.67,32.357565
19.05.2016 12:50,1792876,30.76,31.432117
19.05.2016 13:50,1796482,30.86,30.848947
19.05.2016 14:50,1800087,30.84,30.892178
19.05.2016 15:50,1803692,30.68,30.869336
19.05.2016 16:50,1807297,30.53,30.766965
19.05.2016 17:50,1810902,30.65,30.676087
19.05.2016 18:50,1814508,30.82,30.730108
19.05.2016 20:02,1818804,30.8,30.82392
19.05.2016 21:13,1823100,30.67,30.806076
19.05.2016 22:25,1827396,30.64,30.720704
19.05.2016 23:37,1831692,30.69,30.697508
20.05.2016 00:48,1835989,30.92,30.720898
20.05.2016 01:48,1839589,30.97,31.381112
20.05.2016 02:48,1843189,31.04,32.479166
20.05.2016 03:48,1846789,31.01,33.168526
20.05.2016 04:48,1850389,31.05,33.618177
20.05.2016 05:48,1853989,31.1,33.995131
20.05.2016 06:48,1857589,31.02,34.239425
20.05.2016 08:00,1861907,30.99,34.305328
20.05.2016 09:12,1866226,30.95,34.123606
20.05.2016 10:24,1870545,30.84,33.743533
20.05.2016 11:36,1874864,30.76,33.145973
20.05.2016 12:48,1879183,30.73,32.241016
20.05.2016 13:48,1882788,30.64,31.032328
20.05.2016 14:48,1886394,30.63,30.938357
20.05.2016 15:48,1890000,30.64,30.910275
20.05.2016 16:48,1893606,30.71,30.895427
20.05.2016 17:49,1897212,30.66,30.913751
20.05.2016 18:49,1900818,30.39,30.875495
20.05.2016 19:49,1904422,30.49,30.73091
20.05.2016 20:49,1908027,30.45,30.764541
20.05.2016 21:49,1911632,30.5,30.735102
20.05.2016 22:49,1915237,30.68,30.747249
20.05.2016 23:49,1918842,30.75,30.82777
21.05.2016 00:49,1922447,30.78,30.857403
21.05.2016 01:49,1926055,30.82,30.915149
21.05.2016 02:49,1929664,30.75,32.121358
21.05.2016 03:50,1933272,30.63,32.759585
21.05.2016 04:50,1936881,30.67,33.151467
21.05.2016 05:50,1940489,30.64,33.476605
21.05.2016 06:50,1944098,30.67,33.679459
21.05.2016 08:02,1948411,30.74,33.858722
21.05.2016 09:14,1952725,30.77,33.833229
21.05.2016 10:26,1957038,30.94,33.627536
21.05.2016 11:38,1961352,30.89,33.360793
21.05.2016 12:49,1965666,30.23,32.693888
21.05.2016 14:01,1969981,30.2,31.089811
21.05.2016 15:13,1974296,30.12,30.797604
21.05.2016 16:25,1978611,30.12,30.72744
21.05.2016 17:37,1982926,30.25,30.701349
21.05.2016 18:49,1987242,30.14,30.741183
21.05.2016 19:49,1990842,30.03,30.671928
21.05.2016 20:49,1994443,29.95,30.605904
21.05.2016 21:49,1998043,30.04,30.553173
21.05.2016 22:49,2001644,29.2,30.581586
21.05.2016 23:49,2005245,28.94,30.176204
22.05.2016 00:49,2008846,29.36,30.0341
22.05.2016 01:49,2012448,29.36,30.207088
22.05.2016 02:49,2016051,29.59,30.976812
22.05.2016 03:49,2019653,29.58,31.960479
22.05.2016 04:49,2023256,29.79,32.486574
22.05.2016 05:49,2026858,30.36,32.992038
22.05.2016 06:49,2030461,30.53,33.57262
22.05.2016 07:49,2034066,30.75,33.583437
22.05.2016 08:50,2037671,30.86,33.754813
22.05.2016 09:50,2041276,30.71,33.761705
22.05.2016 10:50,2044881,30.49,33.517648
22.05.2016 11:50,2048486,30.32,33.130179
22.05.2016 12:50,2052092,30.51,32.629833
22.05.2016 14:02,2056397,30.63,31.850066
22.05.2016 15:13,2060702,30.76,31.02301
22.05.2016 16:25,2065007,30.35,31.060229
22.05.2016 17:37,2069312,30.33,30.843033
22.05.2016 18:49,2073618,30.55,30.812436
22.05.2016 19:49,2077223,30.84,30.900899
22.05.2016 20:49,2080828,31.19,31.029825
22.05.2016 21:49,2084433,31.15,31.209657
22.05.2016 22:49,2088038,31.26,31.182347
22.05.2016 23:49,2091643,31.26,31.248269
23.05.2016 00:49,2095248,31.65,31.246311
23.05.2016 01:49,2098848,31.72,31.519743
23.05.2016 02:49,2102448,31.76,31.638183
23.05.2016 03:49,2106048,31.73,32.688371
23.05.2016 04:49,2109648,31.69,33.279925
23.05.2016 05:49,2113248,31.66,33.656939
23.05.2016 06:49,2116849,31.84,33.906337
23.05.2016 07:49,2120456,31.71,35.063945
23.05.2016 08:49,2124064,31.9,35.136059
23.05.2016 09:50,2127671,32.07,35.236855
23.05.2016 10:50,2131279,32.13,35.16826
23.05.2016 11:50,2134886,32,34.85519
23.05.2016 12:50,2138494,31.87,34.280626
23.05.2016 14:02,2142792,31.98,33.242018
23.05.2016 15:13,2147091,32.16,32.025873
23.05.2016 16:25,2151390,32.18,32.056258
23.05.2016 17:36,2155689,31.81,32.059625
23.05.2016 18:48,2159988,31.55,31.794603
23.05.2016 19:48,2163588,31.04,31.623417
23.05.2016 20:48,2167188,30.75,31.349899
23.05.2016 21:48,2170788,30.65,31.192441
23.05.2016 22:48,2174388,30.16,31.128219
23.05.2016 23:48,2177988,29.9,30.880047
24.05.2016 00:48,2181588,30.72,30.73723
24.05.2016 01:48,2185198,31,31.104246
24.05.2016 02:48,2188808,30.5,31.229324
24.05.2016 03:49,2192418,32,31.844183
24.05.2016 04:49,2196028,35,33.483691
24.05.2016 05:49,2199638,37.2,35.967629
24.05.2016 06:49,2203248,37,37.937717
24.05.2016 07:49,2206866,36,38.117819
24.05.2016 08:50,2210484,36.9,37.677412
24.05.2016 09:50,2214102,36,38.326957
24.05.2016 10:50,2217721,37,37.631463
24.05.2016 11:51,2221339,36.2,38.064386
24.05.2016 12:51,2224958,36,37.164247
24.05.2016 13:56,2228879,35,36.523062
24.05.2016 15:02,2232801,23.1,34.981556
24.05.2016 16:07,2236722,22,27.978286
24.05.2016 17:12,2240644,28,27.311797
24.05.2016 18:18,2244566,26.9,30.068703
24.05.2016 19:23,2248487,26,29.495608
24.05.2016 20:28,2252409,26,29.009761
24.05.2016 21:34,2256331,31,28.950466
24.05.2016 22:39,2260252,30,31.274309
24.05.2016 23:45,2264174,29.4,30.805451
25.05.2016 00:50,2268096,29,30.512971
25.05.2016 02:02,2272398,29,30.310938
25.05.2016 03:13,2276701,28.2,30.417131
25.05.2016 04:25,2281003,27,31.415911
25.05.2016 05:37,2285306,30.5,31.651869
25.05.2016 06:48,2289609,32,34.282733
25.05.2016 07:49,2293214,33,57.21416
25.05.2016 08:49,2296820,34.5,48.641798
25.05.2016 09:49,2300426,33,51.712341
25.05.2016 10:49,2304032,34,49.619192
25.05.2016 11:49,2307638,33.4,49.214523
25.05.2016 12:49,2311244,33,46.701978
25.05.2016 14:01,2315552,31,42.935187
25.05.2016 15:13,2319861,30.6,36.533288
25.05.2016 16:24,2324170,29,32.512635
25.05.2016 17:36,2328479,28.4,31.778114
25.05.2016 18:48,2332788,28,31.440059
25.05.2016 19:48,2336402,28,30.773734
25.05.2016 20:49,2340016,27.5,30.694228
25.05.2016 21:49,2343630,28,30.382708
25.05.2016 22:49,2347245,28,30.550136
25.05.2016 23:49,2350859,27,30.494124
26.05.2016 00:50,2354474,26,29.965338
26.05.2016 01:55,2358398,26,29.414698
26.05.2016 03:00,2362322,21.4,29.353502
26.05.2016 04:06,2366246,22,28.152603
26.05.2016 05:11,2370171,25,29.127316
26.05.2016 06:17,2374095,27.6,31.031865
